Article ID	Pub. Year	Authors	Affiliations	Title	Recommendation 1	Recommendation 2	Recommendation 3	Recommendation 4	Recommendation 5	Recommendation 6	Recommendation 7	Recommendation 8	Recommendation 9	Recommendation 10	url
000001	2007	Johanna Drucker	University of Virginia	Philosophy and Digital Humanities: A review of Willard McCarty, Humanities Computing (London and NY: Palgrave, 2005)	000457	000109	000556	000689	000465	000193	000488	000541	000135	000172	https://digitalhumanities.org/dhq/vol/1/1/000001/000001.html
000002	2007	Jeff Howard	University of Texas, Austin	Interpretative Quests in Theory and Pedagogy	000085	000331	000146	000193	000532	000048	000047	000165	000147	000387	https://digitalhumanities.org/dhq/vol/1/1/000002/000002.html
000003	2007	Drew VandeCreek	Northern Illinois University Libraries	"Webs of Significance": The Abraham Lincoln Historical Digitization Project, New Technology, and the Democratization of History	000029	000108	000179	000240	000173	000061	000652	000524	000031	000174	https://digitalhumanities.org/dhq/vol/1/1/000003/000003.html
000004	2007	Linda E. Patrik	Department of Philosophy, Union College	Encoding for Endangered Tibetan Texts	000046	000288	000294	000456	000029	000667	000460	000138	000027	000170	https://digitalhumanities.org/dhq/vol/1/1/000004/000004.html
000005	2007	Mark Wolff	Hartwick College	Reading Potential: The Oulipo and the Meaning of Algorithms	000140	000097	000193	000093	000250	000188	000332	000108	000139	000171	https://digitalhumanities.org/dhq/vol/1/1/000005/000005.html
000006	2007	Joseph Raben	Queens College, City University of New York	Tenure, Promotion and Digital Publication	000114	000077	000023	000466	000411	000147	000177	000554	000741	000008	https://digitalhumanities.org/dhq/vol/1/1/000006/000006.html
000007	2007	Julia Flanders | Wendell Piez | Melissa Terras	Brown University | Mulberry Technologies, Inc. | University College London	Welcome to Digital Humanities Quarterly	000017	000099	000013	000052	000020	000029	000088	000006	000169	000456	https://digitalhumanities.org/dhq/vol/1/1/000007/000007.html
000008	2007	Joseph Raben	Queens College, City University of New York	Introducing Issues in Humanities Computing	000020	000741	000099	000554	000007	000114	000645	000006	000132	000662	https://digitalhumanities.org/dhq/vol/1/1/000008/000008.html
000009	2007	Dennis G. Jerz	Seton Hill University	Somewhere Nearby is Colossal Cave: Examining Will Crowther's Original "Adventure" in Code and in Kentucky	000128	000696	000283	000031	000262	000044	000063	000360	000490	000614	https://digitalhumanities.org/dhq/vol/1/2/000009/000009.html
000010	2007	Eric Eve	Harris Manchester College, University of Oxford	All Hope Abandon: Biblical Text and Interactive Fiction	000004	000007	000082	000098	000605	000026	000701	000392	000002	000573	https://digitalhumanities.org/dhq/vol/1/2/000010/000010.html
000011	2007	Steve F. Anderson	University of Southern California	Aporias of the Digital Avant-Garde	000361	000120	000159	000541	000369	000276	000139	000212	000379	000193	https://digitalhumanities.org/dhq/vol/1/2/000011/000011.html
